FECHA|ANALIZADOR|LOTE|CODIGO_PRUEBA|NOMBRE_PRUEBA|EVENTO
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00815|CA 125|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00816|CA 15.3|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00817|CA 19.9|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC11011|Tiroglobulina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00815|CA 125|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00816|CA 15.3|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC00817|CA 19.9|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|23990|CLC11011|Tiroglobulina|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00815|CA 125|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00816|CA 15.3|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00817|CA 19.9|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC11011|Tiroglobulina|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00815|CA 125|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00816|CA 15.3|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC00817|CA 19.9|CCT
30/03/22 18:20:38,000000000|HOV 27 - DXI800 num 2 (externo cadena)|23990|CLC11011|Tiroglobulina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11020|Insulina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11797|Folitropina #FSH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11816|Lutropina #LH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11837|Estradiol|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11875|Globulina fijadora de hormonas sexuales|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC11918|Coriogonadotropina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85211|CLC12055|Deshidroepiandrosterona, sulfato|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC00805|Vitamina B12|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC00811|Ácido fólico|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11020|Insulina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11797|Folitropina #FSH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11816|Lutropina #LH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11837|Estradiol|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11875|Globulina fijadora de hormonas sexuales|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC11918|Coriogonadotropina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85212|CLC12055|Deshidroepiandrosterona, sulfato|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC00814|Antígeno carcinoembrionario #CEA|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC00820|PSA|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC00805|Vitamina B12|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC00811|Ácido fólico|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11020|Insulina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11775|Prolactina|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11797|Folitropina #FSH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11816|Lutropina #LH|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11837|Estradiol|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11846|Progesterona|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11875|Globulina fijadora de hormonas sexuales|CCT
30/03/22 18:20:38,000000000|HOV 25 - DXI800 num 1|85213|CLC11918|Coriogonadotropina|CCT
